airport,score
ORD,63.758
ATL,52.693
EWR,52.693
PHL,43.548
LAS,47.902
MCI,39.589
MDW,43.548
PBI,35.990
TPA,39.589
SMF,29.744
SNA,24.581
CLE,35.990
SFO,47.902
JFK,43.548
SJC,27.040
DSM,24.581
LBB,16.789
AUS,35.990
FSD,16.789
MCO,47.902
CAE,18.468
DFW,57.962
BQN,10.425
ICT,22.347
DTW,47.902
SPI,8.616
BMI,20.315
FLL,43.548
PSP,20.315
LAX,47.902
BWI,47.902
SLC,35.990
MSP,43.548
BOS,43.548
PVD,20.315
COS,18.468
FAT,13.876
LIH,8.616
CVG,35.990
CPR,4.863
CHS,29.744
MLI,18.468
DEN,57.962
MIA,47.902
FAR,15.263
IND,35.990
CAK,15.263
CLT,43.548
STL,43.548
BUF,22.347
PSC,7.832
HPN,18.468
IAD,47.902
MKE,32.718
BNA,39.589
LGA,43.548
PHX,43.548
SBA,9.477
BPT,6.473
SJU,32.718
SEA,39.589
MTJ,27.040
IAH,52.693
KOA,9.477
SAT,39.589
SWF,24.581
HNL,24.581
BHM,24.581
ELP,20.315
SBP,6.473
OKC,32.718
SCE,8.616
DAL,39.589
GEG,10.425
MDT,20.315
MGM,9.477
WRG,1.058
PIT,32.718
TTN,22.347
MHT,18.468
APN,2.496
TVC,13.876
BTV,16.789
MEM,29.744
ACY,24.581
DCA,39.589
LCH,5.885
ADQ,1.058
EUG,9.477
BDL,29.744
CMH,35.990
MSY,39.589
VPS,10.425
CRP,24.581
RSW,35.990
XNA,22.347
GNV,5.885
MSO,22.347
AMA,11.467
CHA,15.263
RHI,2.063
JAX,32.718
SYR,16.789
PIA,15.263
ELM,13.876
OAK,43.548
HSV,20.315
LGB,12.614
STX,10.425
ANC,35.990
DAY,24.581
ONT,16.789
OGG,18.468
LRD,5.885
CLL,5.350
HRL,4.019
MOB,13.876
BIS,13.876
FSM,7.832
ORF,29.744
TUL,24.581
GJT,11.467
TLH,8.616
LSE,5.885
PDX,29.744
FAY,4.863
SGU,5.350
SCC,1.058
GRR,24.581
AVL,10.425
BZN,27.040
RDU,39.589
TYR,7.120
STT,24.581
RIC,24.581
RKS,3.654
ABI,4.421
MRY,5.885
HOU,43.548
JAC,29.744
STC,10.425
BTR,15.263
RNO,22.347
TUS,20.315
MFE,7.120
ABY,4.863
ASE,27.040
HDN,27.040
HYS,4.421
RAP,18.468
MOT,5.885
EYW,5.350
MAF,13.876
GSO,22.347
OMA,35.990
SIT,1.550
ITO,3.322
LFT,13.876
TYS,24.581
PNS,18.468
MYR,24.581
ECP,10.425
GRB,9.477
LAW,4.863
VLD,4.019
BRO,6.473
SAN,35.990
JAN,12.614
AGS,4.863
CWA,5.350
SGF,16.789
BUR,13.876
LIT,24.581
FAI,20.315
GPT,9.477
BIL,8.616
CMI,7.832
IDA,7.120
JLN,5.350
PBG,4.019
FWA,13.876
INL,3.020
RDD,3.020
PLN,2.496
BQK,4.421
AVP,10.425
LWS,1.000
MHK,7.832
JNU,2.745
MQT,8.616
PIH,1.058
GFK,2.063
SMX,4.421
BET,1.164
BGM,2.269
PIB,6.473
ROW,4.863
CSG,4.421
PPG,1.164
ILM,5.885
MMH,10.425
CEC,4.421
MLB,4.019
EWN,4.019
OAJ,4.421
LAR,3.322
SPS,5.350
HOB,2.063
PAH,4.421
SUX,5.885
DHN,4.863
ACK,6.473
TWF,1.058
MVY,5.885
GCK,4.019
BGR,4.019
ITH,3.654
11298,29.744
10721,22.347
14679,16.789
PWM,16.789
LBE,13.876
ISN,7.832
ALB,24.581
MKG,6.473
LEX,16.789
ABQ,29.744
ILG,7.120
ALO,4.863
IAG,2.496
AZO,11.467
GSP,20.315
CDC,1.281
SDF,29.744
IMT,1.875
BLI,2.496
ORH,4.019
SJT,4.863
KTN,2.269
ROC,20.315
SBN,15.263
CIU,2.745
GGG,5.350
EGE,39.589
MSN,20.315
PHF,12.614
BFL,9.477
AEX,10.425
CNY,1.000
GTF,4.863
FNT,11.467
CDV,1.281
LAN,13.876
ATW,10.425
MEI,4.863
HLN,4.421
MLU,10.425
YUM,1.409
MFR,7.120
BJI,1.409
DLH,7.832
RDM,8.616
SUN,8.616
FCA,18.468
ISP,7.832
ERI,7.120
GTR,4.019
BOI,20.315
DRO,10.425
TXK,4.019
HIB,1.705
UST,9.477
PUB,4.863
